都道府県名,市区町村名,開設局数,25/12,25/11,25/10,25/09,25/08,25/07,25/06,25/05,25/04,25/03,25/02,25/01,24/12,24/11,24/10,24/09,24/08,24/07,24/06,24/05,24/04,24/03,24/02,24/01,23/12,23/11,23/10,23/09,23/08,23/07,23/06,23/05,23/04,23/03,23/02,23/01,22/12,22/11,22/10,22/09,22/08,22/07,22/06,22/05,22/04,22/03,22/02,22/01,21/12,21/11
大阪府,池田市,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,3,5,1,1,0
大阪府,吹田市,96,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,1,0,3,1,1,0,1,2,2,3,4,4,1,6,3,1,2,2,0
大阪府,泉大津市,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,2,2,0,1,1,3,0,0
大阪府,高槻市,100,0,0,0,3,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,2,1,0,1,0,0,1,1,0,4,3,1,3,1,2,1,0,1
大阪府,貝塚市,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,2,0,0,0
大阪府,守口市,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
大阪府,枚方市,80,0,0,0,0,1,3,0,0,0,0,-1,0,-1,0,-1,1,0,-1,0,0,0,0,0,0,2,0,1,0,1,1,2,1,0,2,1,0,0,0,0,2,0,2,0,1,0,9,6,2,1,0
大阪府,茨木市,86,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4,0,3,2,1,1,3,8,2,2,0,0
大阪府,八尾市,70,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,3,2,0,1,1,0,1,0
大阪府,泉佐野市,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,2,5,2,0,0
大阪府,富田林市,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,0,1,2,1,0,0
大阪府,寝屋川市,52,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,6,0,1
大阪府,河内長野市,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,2,1,5,1,1,3,3,5,1,0
大阪府,松原市,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0
大阪府,大東市,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,2,0,0,0,0
大阪府,和泉市,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,1,2,4,2,2,4,6,10,3,0
